device_id,morning_peak(7-10),free_hour,evening_peak(5-7)
130,5176,20355,470
2,4180,17449,4372
131,4144,21857,0
132,5716,19813,472
133,0,26001,0
134,3999,20782,1220
135,6581,19420,0
136,4178,21823,0
200,11756,12228,2017
137,4661,20868,472
73,4192,16838,4971
138,4091,21910,0
139,4178,18158,3665
140,4897,20632,472
141,5018,20747,236
142,4184,21817,0
143,6490,18661,850
144,4184,21817,0
145,4656,20396,949
146,5524,20477,0
147,4231,18616,3154
148,4169,21832,0
149,5559,20442,0
150,7010,18991,0
151,4175,20416,1410
152,4087,20796,1117
153,5609,20391,0
154,4134,21866,0
155,3716,21728,556
156,4101,21899,0
157,4846,20919,235
158,4856,20909,235
159,4154,20902,944
160,5158,20842,0
161,4179,21821,0
162,4224,21541,235
164,4995,20872,133
165,4177,21688,133
166,3966,22032,0
167,4167,20669,1162
169,4884,20039,1075
