from,koteshwor,airport,gausala,chabhil,gangabu,samakhushi,balaju,banasthali,swoyambhu,satdobato,gwarko,balkumari
koteshwor,0.0,27.8,47.15,44.18333333333333,71.48333333333333,70.48333333333333,115.16666666666667,114.18333333333334,113.18333333333334,0.0,0.0,0.9833333333333333
airport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gausala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chabhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gangabu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samakhushi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
balaju,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7
banasthali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.71666666666667,40.71666666666667,68.14166666666667
swoyambhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,41.7,69.13333333333334
satdobato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9833333333333334,71.125
gwarko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.61666666666666
balkumari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
